title,company,description,onsite_remote,salary,location,criteria,posted_date,link 
Data Analyst-Entry level.,Flexon Technologies Inc.,Nan,onsite,NaN,"Pleasanton, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-02,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3625483990?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=xCZgIkMe9Ct9su2ocbggwA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Level 2,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-level-2-at-lockheed-martin-3611847539?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=macpiHA7k568IrJjuYDMBw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr data analyst,"KGS Technology Group, Inc",Nan,onsite,NaN,"San Jose, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-26,https://www.linkedin.com/jobs/view/jr-data-analyst-at-kgs-technology-group-inc-3617003884?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=DBLhkeQppYIE2U9%2Bpd2%2FYA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Alchemy Worx,Nan,onsite,NaN,"New York, United States","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-alchemy-worx-3622757648?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=ZGGNsqlAN7yAEIkLFeXiUg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Python/SQL Data Analyst,Bardess Group Ltd,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-05-15,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3607784565?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=X%2FNnpSbb7wmImXZFX7XkPw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3611846593?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=%2FYQUVU8nZZpCq0s34yH7XQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Allnessjobs,Nan,onsite,NaN,"Tennessee, United States","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Human Resources Services'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-allnessjobs-3627638321?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=2rwYjRHJMV6n6xLvHm7yHg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3617962147?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=TCJrzx7itXDwjcBYJVN3oQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Futran Solutions,Nan,onsite,NaN,"Redmond, WA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-16,https://www.linkedin.com/jobs/view/data-analyst-at-futran-solutions-3607085745?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=LytdTH%2FlN%2F6zW%2B81PX1wRg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Inter,VRK IT Vision Inc.,Nan,onsite,NaN,"McLean, VA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-05-26,https://www.linkedin.com/jobs/view/data-analyst-inter-at-vrk-it-vision-inc-3616642302?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=neNqOOdiDPgW82Ifp6dnlQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Hitch,Nan,onsite,NaN,"Austin, TX","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-at-hitch-3616992052?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=9PpRtTzS6idS27TipRdEnw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Capgemini,Nan,onsite,NaN,"New Jersey, United States","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-capgemini-3621386735?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=GKLsT%2B66YgpBTUxkrJQp1A%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Brooksource,Nan,onsite,NaN,"Cerritos, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-01,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3624920957?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=q5vbaokzEa6XsLqwcUv4jQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr Data Analyst,One Park Financial,Nan,onsite,NaN,"Miami, FL","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-18,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3627893035?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=nL%2FTHjU2NNvi4p6ftWAoew%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst and BI Developer,NielsenIQ,Nan,onsite,NaN,United States,"[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-and-bi-developer-at-nielseniq-3627064795?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=lSz9ssWI14vaXPYFKYKk4A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Centripetal Crossfit,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-centripetal-crossfit-3616969491?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=tDLtlUJjrh2yK0pJSjODGA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst/Data science -REMOTE,PSRTEK,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-data-science-remote-at-psrtek-3626317760?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=811p5KwhKlluJkGx7lDDzg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst (Remote),SynergisticIT,Nan,onsite,NaN,"Jersey City, NJ","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development, Computer Networking Products, and Computer and Network Security'}]",2023-05-26,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-synergisticit-3617459653?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=urn6Pm2AgSDUghE9zGv4Qw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
127 - Data Analyst,"Next Phase Solutions and Services, Inc.",Nan,onsite,NaN,"Columbia, MD","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-31,https://www.linkedin.com/jobs/view/127-data-analyst-at-next-phase-solutions-and-services-inc-3623661009?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=zJUg0YNO0%2FkLXD%2BPVQvP4w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,VRK IT Vision Inc.,Nan,onsite,NaN,"Chicago, IL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-at-vrk-it-vision-inc-3625958423?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=TFpajxhZ2PVICgfRINMMBg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Rantec Power Systems Inc.,Nan,onsite,NaN,"Los Osos, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-23,https://www.linkedin.com/jobs/view/data-analyst-at-rantec-power-systems-inc-3615847918?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=J%2FRXQKTsfsL%2BgKhdIa5TrQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst (SQL, Tableau or equivalent reporting tools, excellent communication, interpret data. find pattern/trend) AK",Cube Hub Inc.,Nan,onsite,NaN,"Wichita, KS","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-sql-tableau-or-equivalent-reporting-tools-excellent-communication-interpret-data-find-pattern-trend-ak-at-cube-hub-inc-3614223162?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=0QyEglXG1F4EbUYCRWaL3Q%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,ClientSolv Inc.,Nan,onsite,NaN,"Grand Rapids, MI","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-clientsolv-inc-3627675457?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=m8nOITdTJPpDomZHt%2BIhUw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst, Business Analysis and Reporting - Lakeland",Publix Super Markets,Nan,onsite,NaN,"Lakeland, FL","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Finance and Accounting/Auditing'}, {'Industries': 'Retail'}]",2023-05-30,https://www.linkedin.com/jobs/view/data-analyst-business-analysis-and-reporting-lakeland-at-publix-super-markets-3622795962?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=n%2Ft6OLt16zQ1C62og0STpg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Maximum Games,Nan,onsite,NaN,"Walnut Creek, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-20,https://www.linkedin.com/jobs/view/data-analyst-at-maximum-games-3612757366?refId=ZtK2s0VOMmADAYYvwWo97g%3D%3D&trackingId=7s1pFvbH5s0Jn%2FVnwYJvuw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr Data Analyst,One Park Financial,Nan,onsite,NaN,"Miami, FL","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-18,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3627893035?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=XMU%2FM3pIM6KOoGgYR%2FoYgg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst-Entry level.,Flexon Technologies Inc.,Nan,onsite,NaN,"Pleasanton, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-02,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3625483990?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=wrDYmgOc%2B2sMuBx3PkjnZQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Level 2,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-level-2-at-lockheed-martin-3611847539?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=zNoTeF5bFbxxDEQjesrARQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr data analyst,"KGS Technology Group, Inc",Nan,onsite,NaN,"San Jose, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-26,https://www.linkedin.com/jobs/view/jr-data-analyst-at-kgs-technology-group-inc-3617003884?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=nUvi9NsC2MbIljT3S9nT5A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Alchemy Worx,Nan,onsite,NaN,"New York, United States","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-alchemy-worx-3622757648?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=jxcn0XSGtQvhjJH2KVlFyA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Python/SQL Data Analyst,Bardess Group Ltd,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-05-15,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3607784565?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=exYqiIoVrkP%2B0Quo9KXFNQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3611846593?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=QieXJtoj0HHqDrGxkClDOA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Allnessjobs,Nan,onsite,NaN,"Tennessee, United States","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Human Resources Services'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-allnessjobs-3627638321?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=ILywFx2v%2BgjVhJZEn03Jdw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3617962147?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=NDuND9mIdSxiLMMNjUiFDw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Futran Solutions,Nan,onsite,NaN,"Redmond, WA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-16,https://www.linkedin.com/jobs/view/data-analyst-at-futran-solutions-3607085745?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=uBH4sOoRN0JJfT5MiHzjtQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Inter,VRK IT Vision Inc.,Nan,onsite,NaN,"McLean, VA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-05-26,https://www.linkedin.com/jobs/view/data-analyst-inter-at-vrk-it-vision-inc-3616642302?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=3VAmVfyFpCA%2BpoAYW1yNaQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Hitch,Nan,onsite,NaN,"Austin, TX","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-at-hitch-3616992052?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=mZbYcke%2FgWwPD%2BAb5e4HvA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Capgemini,Nan,onsite,NaN,"New Jersey, United States","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-capgemini-3621386735?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=RF%2Fq5TAaoCdSrLY%2FOUrzKA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Brooksource,Nan,onsite,NaN,"Cerritos, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-01,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3624920957?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=ym28BDmJjBGywz%2BU8MDqVA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Centripetal Crossfit,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-centripetal-crossfit-3616969491?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=bWnCl%2BgZEN64FbCugoIYQA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst/Data science -REMOTE,PSRTEK,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-data-science-remote-at-psrtek-3626317760?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=Z0o8tcswZ4G7K%2FAuoZe5uA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst (Remote),SynergisticIT,Nan,onsite,NaN,"Jersey City, NJ","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development, Computer Networking Products, and Computer and Network Security'}]",2023-05-26,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-synergisticit-3617459653?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=DHHkyTyu9rAtuSqyQnHvEg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Skill Demand,Nan,onsite,NaN,"Indianapolis, IN","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Business Consulting and Services'}]",2023-06-11,https://www.linkedin.com/jobs/view/data-analyst-at-skill-demand-3633642337?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=qGQfDb1tyZFjatwY8MZ%2Bxg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
127 - Data Analyst,"Next Phase Solutions and Services, Inc.",Nan,onsite,NaN,"Columbia, MD","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-31,https://www.linkedin.com/jobs/view/127-data-analyst-at-next-phase-solutions-and-services-inc-3623661009?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=T2FomYgBxvWMm5sZjzJU%2FA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,VRK IT Vision Inc.,Nan,onsite,NaN,"Chicago, IL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-at-vrk-it-vision-inc-3625958423?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=k2n4YB1x9XMeQ1PL2ICdsQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Rantec Power Systems Inc.,Nan,onsite,NaN,"Los Osos, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-23,https://www.linkedin.com/jobs/view/data-analyst-at-rantec-power-systems-inc-3615847918?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=dp7dzC5GB4MxlPq0XkWUug%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst (SQL, Tableau or equivalent reporting tools, excellent communication, interpret data. find pattern/trend) AK",Cube Hub Inc.,Nan,onsite,NaN,"Wichita, KS","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-sql-tableau-or-equivalent-reporting-tools-excellent-communication-interpret-data-find-pattern-trend-ak-at-cube-hub-inc-3614223162?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=nau093W5S2vj7aV%2Bj1%2BvoA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,ClientSolv Inc.,Nan,onsite,NaN,"Grand Rapids, MI","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-clientsolv-inc-3627675457?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=yYAFiJE8WoGzKrr0HQzqhA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst, Business Analysis and Reporting - Lakeland",Publix Super Markets,Nan,onsite,NaN,"Lakeland, FL","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Finance and Accounting/Auditing'}, {'Industries': 'Retail'}]",2023-05-30,https://www.linkedin.com/jobs/view/data-analyst-business-analysis-and-reporting-lakeland-at-publix-super-markets-3622795962?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=nVZ38H1UB%2F9nO3ku3xtsdw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Maximum Games,Nan,onsite,NaN,"Walnut Creek, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-20,https://www.linkedin.com/jobs/view/data-analyst-at-maximum-games-3612757366?refId=1GtkXzUuusiYuzNUZssODw%3D%3D&trackingId=nA%2BbAU5MpG%2FbuIzO0d36kA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr Data Analyst,One Park Financial,Nan,onsite,NaN,"Miami, FL","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-18,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3627893035?refId=VNk4%2F2p8GSk863x9jps7SA%3D%3D&trackingId=qIUvIxDFIRR3LFF2CreGqw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst-Entry level.,Flexon Technologies Inc.,Nan,onsite,NaN,"Pleasanton, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-02,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3625483990?refId=VNk4%2F2p8GSk863x9jps7SA%3D%3D&trackingId=dOKWw7UBrn1oS0RC%2BFVamQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Level 2,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-level-2-at-lockheed-martin-3611847539?refId=VNk4%2F2p8GSk863x9jps7SA%3D%3D&trackingId=PCq4kGGFgskQRUjrq0gMZg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
